epoch,epoch_time,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,,49,,0.859375,,0.4221833348274231,,
0,,99,,0.8181818127632141,,0.48704978823661804,,
0,,99,,,,,0.9352428317070007,0.18857342004776
0,2.851511001586914,99,0.8200691938400269,,0.4016903042793274,,,
1,,149,,0.953125,,0.14873844385147095,,
1,,199,,1.0,,0.08039876073598862,,
1,,199,,,,,0.9526774883270264,0.13800881803035736
1,2.301386594772339,199,0.9364579916000366,,0.17465965449810028,,,
2,,249,,0.96875,,0.13582417368888855,,
2,,299,,0.9090909361839294,,0.151968851685524,,
2,,299,,,,,0.9589040875434875,0.12292072921991348
2,2.2958405017852783,299,0.9447939395904541,,0.1449333131313324,,,
3,,349,,0.953125,,0.12117339670658112,,
3,,399,,0.9545454382896423,,0.12336165457963943,,
3,,399,,,,,0.9701120853424072,0.09792175889015198
3,2.42986798286438,399,0.9553318619728088,,0.12465590983629227,,,
4,,449,,0.984375,,0.0549703873693943,,
4,,499,,1.0,,0.053009070456027985,,
4,,499,,,,,0.9775840640068054,0.08995059877634048
4,2.4036636352539062,499,0.9625668525695801,,0.11093541979789734,,,
5,,549,,0.953125,,0.09560107439756393,,
5,,599,,1.0,,0.0535355769097805,,
5,,599,,,,,0.9738480448722839,0.07677637040615082
5,2.48286509513855,599,0.9636678099632263,,0.10149606317281723,,,
6,,649,,0.984375,,0.1525495946407318,,
6,,699,,0.9545454382896423,,0.1764933168888092,,
6,,699,,,,,0.9825654029846191,0.07148907333612442
6,1.2321224212646484,699,0.9685435891151428,,0.09591531753540039,,,
7,,749,,0.96875,,0.05849427729845047,,
7,,799,,1.0,,0.04281983524560928,,
7,,799,,,,,0.9800747036933899,0.06830436736345291
7,2.471021890640259,799,0.9702736735343933,,0.0900135338306427,,,
8,,849,,0.984375,,0.06882402300834656,,
8,,899,,1.0,,0.03926970437169075,,
8,,899,,,,,0.9800747036933899,0.05707833170890808
8,2.49548602104187,899,0.9737339019775391,,0.08293639868497849,,,
9,,949,,1.0,,0.01834707520902157,,
9,,999,,1.0,,0.039518747478723526,,
9,,999,,,,,0.9800747036933899,0.06797993183135986
9,2.427668571472168,999,0.9745202660560608,,0.07863227277994156,,,
10,,1049,,0.984375,,0.03793325275182724,,
10,,1099,,1.0,,0.02098812721669674,,
10,,1099,,,,,0.9825654029846191,0.0505419597029686
10,2.6820642948150635,1099,0.9779804944992065,,0.07288292050361633,,,
11,,1149,,0.953125,,0.07770290970802307,,
11,,1199,,1.0,,0.005389528814703226,,
11,,1199,,,,,0.9875466823577881,0.04618174582719803
11,2.492594003677368,1199,0.9803397059440613,,0.06553201377391815,,,
12,,1249,,0.953125,,0.05267435684800148,,
12,,1299,,1.0,,0.021177979186177254,,
12,,1299,,,,,0.9850560426712036,0.04323654994368553
12,2.3905258178710938,1299,0.9806542992591858,,0.061751317232847214,,,
13,,1349,,0.984375,,0.06615781038999557,,
13,,1399,,1.0,,0.04696478694677353,,
13,,1399,,,,,0.9838107228279114,0.04187406599521637
13,2.5301530361175537,1399,0.9815979599952698,,0.05834585428237915,,,
14,,1449,,0.96875,,0.03657112270593643,,
14,,1499,,1.0,,0.0723005160689354,,
14,,1499,,,,,0.9838107228279114,0.04083048924803734
14,2.373865842819214,1499,0.9811261296272278,,0.05812385678291321,,,
15,,1549,,1.0,,0.02208372950553894,,
15,,1599,,1.0,,0.043762918561697006,,
15,,1599,,,,,0.9825654029846191,0.04888663813471794
15,2.682532548904419,1599,0.9839572310447693,,0.05474967136979103,,,
16,,1649,,0.984375,,0.023144997656345367,,
16,,1699,,1.0,,0.003821440041065216,,
16,,1699,,,,,0.9875466823577881,0.03273575007915497
16,2.3625082969665527,1699,0.9864737391471863,,0.044934675097465515,,,
17,,1749,,0.96875,,0.050662219524383545,,
17,,1799,,1.0,,0.004543599206954241,,
17,,1799,,,,,0.9813200235366821,0.058971282094717026
17,2.3176681995391846,1799,0.986316442489624,,0.045062679797410965,,,
18,,1849,,1.0,,0.022176094353199005,,
18,,1899,,1.0,,0.0071411351673305035,,
18,,1899,,,,,0.9887920022010803,0.037553559988737106
18,1.0600130558013916,1899,0.9861591458320618,,0.04559144377708435,,,
19,,1949,,1.0,,0.016026685014367104,,
19,,1999,,1.0,,0.020057858899235725,,
19,,1999,,,,,0.9838107228279114,0.042940620332956314
19,2.278958559036255,1999,0.9864737391471863,,0.04238567501306534,,,
